a,b,c,alpha,phi1,PHI,phi2,GrainID
0.15782,0.11486,0.15782,90,207.86,77.526,329.89,140
0.14835,0.12472,0.14835,30,323.15,137.59,352.81,141
0.8241,0.32256,0.8241,120.53,29.67,102.94,120.28,142
0.30512,0.16051,0.30512,171.2,233.45,142.42,158.35,143
0.48576,0.19778,0.48576,133.4,321.82,33.012,243.81,144
0.13768,0.10935,0.13768,120,322.08,32.942,243.67,145
0.39162,0.19975,0.39162,147.06,53.797,111.91,200.12,146
0.11776,0.10209,0.11776,120,54.89,36.275,199.61,147
0.31997,0.17479,0.31997,60,267.62,131.89,347.72,148
0.13768,0.10935,0.13768,60,234.94,107.27,121.37,149
0.16501,0.069365,0.16501,90,31.393,103.98,121.85,150
0.16422,0.11267,0.16422,60,136.42,69.107,114.02,151
0.16068,0.13477,0.16068,1.2843e-12,31.386,103.95,121.72,152
0.40753,0.18107,0.40753,119.33,34.942,123.07,104.27,153
0.16068,0.13477,0.16068,120,292.25,66.604,293.69,154
0.16068,0.13477,0.16068,120,223.3,82.561,145.62,155
0.15782,0.11486,0.15782,90,89.18,154.06,244.99,156
0.15751,0.15751,0.15751,180,214.05,23.831,134.01,157
0.15782,0.11486,0.15782,90,356.67,128.25,167.33,158
0.15751,0.15751,0.15751,90.136,168.22,99.859,253.47,159
0.16873,0.14351,0.16873,56.94,50.807,133.92,173.22,160
0.15558,0.096246,0.15558,161.56,192.36,70.971,142.06,161
0.15782,0.11486,0.15782,30,159.37,72.081,18.897,162
0.15751,0.15751,0.15751,76.02,180.44,78.017,3.2875,163
0.16068,0.13477,0.16068,120,306.14,17.795,235.22,164
0.16422,0.11267,0.16422,120,252.57,78.374,152.71,165
0.11776,0.10209,0.11776,120,153.24,137.57,71.596,166
0.080789,0.080789,0.080789,90.097,261.91,59.643,138.64,167
0.11776,0.10209,0.11776,120,297.26,66.937,118.99,168
0.11776,0.10209,0.11776,120,39.408,169.76,173.6,169
1.0955,0.62271,1.0955,68.295,156.36,85.711,150.85,170
0.14835,0.12472,0.14835,150,214.66,60.844,163.78,171
0.15782,0.11486,0.15782,90,272.55,113.05,160.37,172
0.11776,0.10209,0.11776,60,4.1216,33.044,116.3,173
0.13768,0.10935,0.13768,60,55.758,131.74,98.887,174
0.15558,0.096246,0.15558,78.436,339.19,158,29.551,175
0.15782,0.11486,0.15782,90,82.922,50.333,49.746,176
0.15751,0.15751,0.15751,90.029,273.29,118.1,338.62,177
0.15782,0.11486,0.15782,90,220.23,66.512,122.32,178
0.15751,0.15751,0.15751,178.86,18.427,67.614,79.572,179
0.16068,0.13477,0.16068,120,140.61,86.704,71.538,180
0.16068,0.13477,0.16068,2.4055e-12,245.55,16.401,209.89,181
0.11776,0.10209,0.11776,120,27.732,103.47,118.92,182
0.14013,0.084933,0.14013,60,284.79,42.919,344.79,183
0.3207,0.15405,0.3207,2.0777e-13,264.59,130.61,344.81,184
0.16068,0.13477,0.16068,180,54.316,114.29,111.43,185
0.11776,0.10209,0.11776,60,30.058,106.13,120.72,186
0.080789,0.080789,0.080789,90.01,210.36,74.367,329.23,187
0.14013,0.084933,0.14013,60,323.4,33.773,243.19,188
0.13768,0.10935,0.13768,60,160.85,77.858,304.53,189
0.30661,0.14944,0.30661,130.36,322.84,33.037,243.88,190
0.12389,0.12389,0.12389,90.211,161.25,78.829,304.51,191
0.16068,0.13477,0.16068,1.6687e-13,4.7548,127.83,177,192
0.26155,0.15056,0.26155,11.066,316.2,59.223,107.94,193
1.9174,0.51136,1.9174,71.442,288.18,44.771,342.95,194
0.15782,0.11486,0.15782,90,31.605,131.58,195.91,195
2.927,0.85882,2.927,87.349,129.16,50.637,50.955,196
0.13768,0.10935,0.13768,120,35.905,124.22,195.26,197
0.15751,0.15751,0.15751,2.889,162.89,31.754,85.918,198
0.15751,0.15751,0.15751,180,3.6644,126.68,200.43,199
0.15751,0.15751,0.15751,1.5093e-07,53.305,135.03,175.02,200
0.15751,0.15751,0.15751,90,290.26,64.123,305.54,201
0.36179,0.21444,0.36179,38.672,295.43,128.48,249.17,202
0.15751,0.15751,0.15751,87.138,26.861,78.213,50.073,203
0.14013,0.084933,0.14013,60,124,69.657,84.97,204
0.15782,0.11486,0.15782,90,188.26,74.93,337.92,205
0.16068,0.13477,0.16068,2.7554e-12,274.29,173.4,74.13,206
0.16068,0.13477,0.16068,60,35.11,88.192,39.3,207
0.15751,0.15751,0.15751,180,232.48,20.979,86.623,208
0.15751,0.15751,0.15751,178.35,51.106,114.2,199.51,209
0.15751,0.15751,0.15751,178.76,242.39,121.77,314.51,210
0.96216,0.39565,0.96216,160.83,265.31,131.52,347.14,211
