a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
2.867264983,1.478355468,1.478355468,0.522409234,133.6166708,30.50558938,303.8665147,26.2490859,,
3.327677528,1.360333853,1.360333853,0.040466994,98.14665246,13.55693572,185.5269857,25.79412827,,
3.421784652,1.339026321,1.339026321,1.057310256,231.8085235,47.42615852,179.4826957,25.69919448,,
4.219499538,1.200432466,1.200432466,0.216562641,341.867391,71.71213034,99.89920741,25.46976971,,
3.229759346,1.361815602,1.361815602,1.220351105,328.4823293,172.2246072,142.0380243,25.08969512,,
3.306843796,1.330508746,1.330508746,1.855266458,177.8202598,8.738664574,358.2727652,24.52097631,,
1.986856788,1.641632935,1.641632935,2.095382486,209.5961071,105.4950323,305.7828828,22.42886447,,
3.966001053,1.137214723,1.137214723,3.060962178,187.0772111,10.68829096,112.1689234,21.48455594,,
2.892303616,1.323494765,1.323494765,2.586181857,223.1910265,57.59601487,80.57228143,21.22154238,,
2.319642429,1.473362412,1.473362412,2.489631975,100.0242504,96.90256883,96.79492356,21.09253727,,
2.521870833,1.386117039,1.386117039,0.850400867,80.25619986,151.888404,318.1528821,20.29603731,,
2.033968853,1.533334773,1.533334773,0.420502884,126.8965579,96.40065642,263.0336186,20.03119585,,
2.140193229,1.488120819,1.488120819,1.499110831,222.9743648,60.00283412,79.48298347,19.85262687,,
4.564850906,1.013945285,1.013945285,1.591632462,31.78800149,43.99209151,358.5258007,19.65822253,,
2.099232743,1.491655739,1.491655739,0.635730118,357.9813297,161.334178,157.4975636,19.56529534,,
2.544246402,1.343095209,1.343095209,0.092624559,247.6345131,79.56896222,121.7885812,19.22477997,,
2.598393164,1.324378818,1.324378818,1.406193846,135.1619965,88.12984876,81.35323253,19.09052741,,
2.291124757,1.400676698,1.400676698,0.739018558,264.6490189,164.5872262,75.93384349,18.82838868,,
2.31185189,1.394147298,1.394147298,1.406247576,4.532258874,21.71432867,46.30820392,18.82200739,,
2.071764389,1.459060348,1.459060348,0.064116595,171.5164674,72.11702504,284.2007866,18.47461867,,
1.752463445,1.579007016,1.579007016,1.659337123,265.386502,96.43612668,339.6537456,18.30230111,,
2.152788463,1.395359299,1.395359299,1.728214817,114.5693127,88.2635615,272.9935344,17.5574754,,
2.41298133,1.305290031,1.305290031,1.870621817,28.79283804,39.34342132,142.0478044,17.22093047,,
2.44059477,1.29333246,1.29333246,0.311086966,10.384352,19.05103845,41.13910816,17.10033589,,
2.439204136,1.260076755,1.260076755,0.192872529,352.1639516,70.35368035,1.064197561,16.22298466,,
1.835822917,1.417976386,1.417976386,0.030364236,2.672191104,99.38978464,356.8720629,15.46170537,,
2.322703068,1.247575977,1.247575977,1.469121757,326.6011859,140.9822619,342.1125646,15.14315298,,
2.250004124,1.241815528,1.241815528,1.077600224,100.5908645,96.81155746,96.18141021,14.53403146,,
1.805162786,1.361601469,1.361601469,1.184093732,358.9090606,36.32364291,205.0299123,14.01861161,,
1.803829938,1.322460536,1.322460536,0.724945426,267.9995726,28.76794652,264.2892077,13.21446673,,
2.077786839,1.228203089,1.228203089,0.959589039,101.811288,54.00914941,185.8777201,13.1289493,,
3.173990348,0.976097616,0.976097616,1.537567249,216.9098983,61.16465063,269.7995179,12.66720254,,
2.658623882,1.064030597,1.064030597,3.08437797,36.33025225,123.1866008,124.5700006,12.60821901,,
1.771785743,1.295851955,1.295851955,1.248993293,136.3323537,169.7357786,32.69730031,12.46265545,,
2.35803839,1.069853047,1.069853047,1.609093325,267.9657454,149.4016892,102.6211066,11.30544694,,
3.305824625,0.902424971,0.902424971,2.077105954,29.66054238,38.3710767,141.2806472,11.27692335,,
1.895146285,1.168810394,1.168810394,2.105456879,292.7951407,70.09510903,28.00477191,10.84474832,,
4.996307977,0.713250404,0.713250404,0.190286044,312.0425469,120.0780145,238.892606,10.64686782,,
1.779264564,1.184500068,1.184500068,1.172080189,204.4433535,103.1233819,280.7362426,10.45681244,,
1.801683089,1.161936949,1.161936949,1.563727969,92.75650725,24.55130591,175.3332478,10.18901347,,
3.133883926,0.851324041,0.851324041,1.531432816,150.7837932,118.1444689,219.8798084,9.513959806,,
2.752141005,0.903433285,0.903433285,3.068517257,221.7252898,89.15026204,77.03093982,9.409173247,,
2.367186183,0.942978289,0.942978289,1.177695387,194.9770445,104.5915472,326.5790713,8.817072542,,
1.577425232,1.146506437,1.146506437,2.602060828,108.1298483,130.2417192,86.19667478,8.685411261,,
2.271592863,0.955392826,0.955392826,1.058293056,203.1585926,105.6477534,276.2911673,8.685264656,,
2.081370224,0.99760924,0.99760924,0.294404469,88.71545039,14.99593292,194.667888,8.676785731,,
3.089330658,0.814377819,0.814377819,0.076195634,176.6707304,33.63435951,279.8496781,8.582323416,,
2.210452252,0.955010592,0.955010592,2.015409708,160.8182197,119.0741559,110.6772906,8.444736909,,
1.421579499,1.177676608,1.177676608,0.518296869,117.8540069,165.4388871,10.79297559,8.258703192,,
2.264462839,0.918299653,0.918299653,2.673537963,135.806149,53.83874252,20.20785331,7.998759653,,
2.451881064,0.878501301,0.878501301,3.065279125,93.36279536,118.7088571,207.7428936,7.926342369,,
1.413937269,1.151712859,1.151712859,0.280715334,104.7135519,14.18315289,180.5018479,7.856103252,,
1.611046992,1.068891664,1.068891664,1.070946485,78.23734833,114.2439109,86.45463335,7.710174327,,
2.674821745,0.826161718,0.826161718,1.656272089,351.788006,103.6442526,256.9626359,7.647396166,,
1.339142977,1.15954269,1.15954269,0.348837809,333.9879254,36.17392333,156.9190135,7.542043658,,
1.327973052,1.160552881,1.160552881,0.30306119,6.453786,168.2909846,297.1737448,7.492172012,,
1.484391796,1.095897498,1.095897498,0.971576673,197.9993861,101.484361,284.8536179,7.467530858,,
1.316755837,1.161338025,1.161338025,2.116294493,180.0196297,72.65746768,301.6437867,7.438941678,,
2.284960966,0.874522147,0.874522147,1.160282779,89.83328783,88.73179719,91.71961412,7.319965255,,
1.338942651,1.139535215,1.139535215,2.880960611,173.3483337,31.25038739,284.4457347,7.282929174,,
1.514647951,1.061724538,1.061724538,2.87821056,289.2147865,70.12509789,327.5262734,7.1519426,,
1.745865002,0.97276395,0.97276395,1.215353478,24.91238769,95.13078611,134.1989242,6.920129216,,
2.807049371,0.746682482,0.746682482,3.104171124,335.5816104,129.4929344,173.6673882,6.555571911,,
1.341765036,1.056529772,1.056529772,0.827031376,40.28116339,65.72784725,215.8017696,6.273769509,,
2.292234825,0.801004044,0.801004044,0.435248221,281.7658492,163.8931323,122.1371122,6.160516616,,
1.507635114,0.983649229,0.983649229,0.500852841,65.54103545,31.32893581,36.30429403,6.110339842,,
